Countrycode,City,Type,Quarter,Variable,Value,Note
268,Tbilisi,Metro,1Q2020,PKM,179000,
268,Tbilisi,Metro,2Q2020,PKM,42500,
348,Budapest,Metro,1Q2019,Pass,80742,
348,Budapest,Metro,2Q2019,Pass,92345,
348,Budapest,Metro,3Q2019,Pass,89746,
348,Budapest,Metro,4Q2019,Pass,91186,
348,Budapest,Metro,1Q2020,Pass,82257,
348,Budapest,Metro,2Q2020,Pass,31217,
348,Budapest,Metro,3Q2020,Pass,64770,
348,Budapest,Metro,4Q2020,Pass,54540,
348,Budapest,Metro,1Q2021,Pass,42800,
348,Budapest,Metro,2Q2021,Pass,47483,
348,Budapest,Metro,3Q2021,Pass,56195,
348,Budapest,Metro,4Q2021,Pass,65140,
348,Budapest,Metro,1Q2019,PKM,344908,
348,Budapest,Metro,2Q2019,PKM,398661,
348,Budapest,Metro,3Q2019,PKM,387011,
348,Budapest,Metro,4Q2019,PKM,392657,
348,Budapest,Metro,1Q2020,PKM,354786,
348,Budapest,Metro,2Q2020,PKM,134965,
348,Budapest,Metro,3Q2020,PKM,276949,
348,Budapest,Metro,4Q2020,PKM,234202,
348,Budapest,Metro,1Q2021,PKM,183780,
348,Budapest,Metro,2Q2021,PKM,203666,
348,Budapest,Metro,3Q2021,PKM,238509,
348,Budapest,Metro,4Q2021,PKM,278717,
348,Budapest,Tram,1Q2019,Pass,111185,
348,Budapest,Tram,2Q2019,Pass,104105,
348,Budapest,Tram,3Q2019,Pass,96549,
348,Budapest,Tram,4Q2019,Pass,105321,
348,Budapest,Tram,1Q2020,Pass,96827,
348,Budapest,Tram,2Q2020,Pass,36794,
348,Budapest,Tram,3Q2020,Pass,73262,
348,Budapest,Tram,4Q2020,Pass,64288,
348,Budapest,Tram,1Q2021,Pass,55684,
348,Budapest,Tram,2Q2021,Pass,60884,
348,Budapest,Tram,3Q2021,Pass,76732,
348,Budapest,Tram,4Q2021,Pass,84103,
348,Budapest,Tram,1Q2019,PKM,308885,
348,Budapest,Tram,2Q2019,PKM,284113,
348,Budapest,Tram,3Q2019,PKM,263996,
348,Budapest,Tram,4Q2019,PKM,286980,
348,Budapest,Tram,1Q2020,PKM,263640,
348,Budapest,Tram,2Q2020,PKM,100357,
348,Budapest,Tram,3Q2020,PKM,198778,
348,Budapest,Tram,4Q2020,PKM,176419,
